Frequency, Amplitude
0,000000  0,000012
1,345825  0,000018
2,691650  0,000019
4,037476  0,000018
5,383301  0,000018
6,729126  0,000018
8,074951  0,000018
9,420776  0,000019
10,766602  0,000018
12,112427  0,000019
13,458252  0,000018
14,804077  0,000019
16,149902  0,000018
17,495728  0,000019
18,841553  0,000018
20,187378  0,000018
21,533203  0,000018
22,879028  0,000018
24,224854  0,000019
25,570679  0,000019
26,916504  0,000018
28,262329  0,000018
29,608154  0,000019
30,953979  0,000020
32,299805  0,000019
33,645630  0,000016
34,991455  0,000019
36,337280  0,000018
37,683105  0,000019
39,028931  0,000018
40,374756  0,000019
41,720581  0,000019
43,066406  0,000019
44,412231  0,000019
45,758057  0,000019
47,103882  0,000019
48,449707  0,000019
49,795532  0,000019
51,141357  0,000019
52,487183  0,000020
53,833008  0,000019
55,178833  0,000019
56,524658  0,000019
57,870483  0,000019
59,216309  0,000019
60,562134  0,000019
61,907959  0,000020
63,253784  0,000019
64,599609  0,000020
65,945435  0,000020
67,291260  0,000020
68,637085  0,000020
69,982910  0,000020
71,328735  0,000020
72,674561  0,000020
74,020386  0,000020
75,366211  0,000020
76,712036  0,000020
78,057861  0,000020
79,403687  0,000020
80,749512  0,000020
82,095337  0,000021
83,441162  0,000020
84,786987  0,000020
86,132812  0,000020
87,478638  0,000020
88,824463  0,000021
90,170288  0,000021
91,516113  0,000021
92,861938  0,000021
94,207764  0,000021
95,553589  0,000021
96,899414  0,000021
98,245239  0,000021
99,591064  0,000021
100,936890  0,000021
102,282715  0,000021
103,628540  0,000021
104,974365  0,000021
106,320190  0,000022
107,666016  0,000022
109,011841  0,000022
110,357666  0,000022
111,703491  0,000022
113,049316  0,000022
114,395142  0,000022
115,740967  0,000022
117,086792  0,000022
118,432617  0,000022
119,778442  0,000023
121,124268  0,000022
122,470093  0,000022
123,815918  0,000023
125,161743  0,000023
126,507568  0,000023
127,853394  0,000023
129,199219  0,000023
130,545044  0,000023
131,890869  0,000023
133,236694  0,000023
134,582520  0,000023
135,928345  0,000024
137,274170  0,000024
138,619995  0,000023
139,965820  0,000024
141,311646  0,000024
142,657471  0,000024
144,003296  0,000024
145,349121  0,000024
146,694946  0,000024
148,040771  0,000024
149,386597  0,000025
150,732422  0,000025
152,078247  0,000024
153,424072  0,000025
154,769897  0,000025
156,115723  0,000025
157,461548  0,000025
158,807373  0,000025
160,153198  0,000025
161,499023  0,000025
162,844849  0,000026
164,190674  0,000025
165,536499  0,000025
166,882324  0,000026
168,228149  0,000026
169,573975  0,000026
170,919800  0,000026
172,265625  0,000026
173,611450  0,000026
174,957275  0,000026
176,303101  0,000027
177,648926  0,000027
178,994751  0,000026
180,340576  0,000027
181,686401  0,000027
183,032227  0,000027
184,378052  0,000027
185,723877  0,000027
187,069702  0,000027
188,415527  0,000028
189,761353  0,000028
191,107178  0,000027
192,453003  0,000028
193,798828  0,000028
195,144653  0,000029
196,490479  0,000028
197,836304  0,000028
199,182129  0,000029
200,527954  0,000028
201,873779  0,000029
203,219604  0,000029
204,565430  0,000029
205,911255  0,000028
207,257080  0,000029
208,602905  0,000029
209,948730  0,000029
211,294556  0,000030
212,640381  0,000029
213,986206  0,000030
215,332031  0,000029
216,677856  0,000030
218,023682  0,000030
219,369507  0,000030
