Frequency, Amplitude
0,00000  0,00000
344,53125  0,00000
689,06250  0,00000
1033,59375  0,00000
1378,12500  0,00000
1722,65625  0,00000
2067,18750  0,00000
2411,71875  0,00000
2756,25000  0,00000
3100,78125  0,00000
3445,31250  0,00000
3789,84375  0,07158
4134,37500  0,00806
4478,90625  0,07295
4823,43750  0,09414
5167,96875  0,07139
5512,50000  0,07347
5857,03125  0,11936
6201,56250  0,05916
6546,09375  0,15654
6890,62500  0,04868
7235,15625  0,08167
7579,68750  0,05960
7924,21875  0,04924
8268,75000  0,08283
8613,28125  0,09870
8957,81250  0,11519
9302,34375  0,06253
9646,87500  0,03937
9991,40625  0,08418
10335,93750  0,07602
10680,46875  0,16678
11025,00000  0,05780
11369,53125  0,11384
11714,06250  0,08674
12058,59375  0,06870
12403,12500  0,10557
12747,65625  0,05036
13092,18750  0,10596
13436,71875  0,01665
13781,25000  0,05060
14125,78125  0,08194
14470,31250  0,05763
14814,84375  0,07697
15159,37500  0,05163
15503,90625  0,13445
15848,43750  0,04461
16192,96875  0,13002
16537,50000  0,14009
16882,03125  0,08446
17226,56250  0,10137
17571,09375  0,11043
17915,62500  0,01625
18260,15625  0,08928
18604,68750  0,11470
18949,21875  0,06322
19293,75000  0,16969
19638,28125  0,12347
19982,81250  0,14510
20327,34375  0,11257
20671,87500  0,17224
21016,40625  0,06237
21360,93750  0,07624
21705,46875  0,12670
22050,00000  0,07208
22394,53125  0,12670
22739,06250  0,07625
23083,59375  0,06237
23428,12500  0,17224
23772,65625  0,11258
24117,18750  0,14510
24461,71875  0,12347
24806,25000  0,16969
25150,78125  0,06322
25495,31250  0,11471
25839,84375  0,08928
26184,37500  0,01625
26528,90625  0,11043
26873,43750  0,10137
27217,96875  0,08446
27562,50000  0,14009
27907,03125  0,13002
28251,56250  0,04461
28596,09375  0,13445
28940,62500  0,05163
29285,15625  0,07697
29629,68750  0,05763
29974,21875  0,08194
30318,75000  0,05060
30663,28125  0,01665
31007,81250  0,10596
31352,34375  0,05036
31696,87500  0,10557
32041,40625  0,06870
32385,93750  0,08674
32730,46875  0,11384
33075,00000  0,05780
33419,53125  0,16678
33764,06250  0,07602
34108,59375  0,08418
34453,12500  0,03937
34797,65625  0,06253
35142,18750  0,11519
35486,71875  0,09870
35831,25000  0,08283
36175,78125  0,04924
36520,31250  0,05960
36864,84375  0,08167
37209,37500  0,04868
37553,90625  0,15654
37898,43750  0,05916
38242,96875  0,11936
38587,50000  0,07348
38932,03125  0,07139
39276,56250  0,09414
39621,09375  0,07295
39965,62500  0,00806
40310,15625  0,07158
40654,68750  0,10791
40999,21875  0,06567
41343,75000  0,08781
41688,28125  0,14116
42032,81250  0,02849
42377,34375  0,12119
42721,87500  0,16270
43066,40625  0,04962
43410,93750  0,11609
43755,46875  0,07063
