Frequency, Amplitude
0,00000  0,00002
1,34583  0,00004
2,69165  0,00004
4,03748  0,00003
5,38330  0,00006
6,72913  0,00002
8,07495  0,00001
9,42078  0,00002
10,76660  0,00001
12,11243  0,00001
13,45825  0,00005
14,80408  0,00001
16,14990  0,00001
17,49573  0,00000
18,84155  0,00002
20,18738  0,00000
21,53320  0,00003
22,87903  0,00000
24,22485  0,00001
25,57068  0,00000
26,91650  0,00003
28,26233  0,00000
29,60815  0,00000
30,95398  0,00000
32,29980  0,00003
33,64563  0,00001
34,99146  0,00003
36,33728  0,00001
37,68311  0,00002
39,02893  0,00002
40,37476  0,00004
41,72058  0,00003
43,06641  0,00001
44,41223  0,00003
45,75806  0,00003
47,10388  0,00004
48,44971  0,00003
49,79553  0,00005
51,14136  0,00004
52,48718  0,00006
53,83301  0,00006
55,17883  0,00006
56,52466  0,00006
57,87048  0,00005
59,21631  0,00000
60,56213  0,00004
61,90796  0,00006
63,25378  0,00003
64,59961  0,00003
65,94543  0,00002
67,29126  0,00006
68,63708  0,00002
69,98291  0,00004
71,32874  0,00001
72,67456  0,00001
74,02039  0,00001
75,36621  0,00005
76,71204  0,00000
78,05786  0,00004
79,40369  0,00000
80,74951  0,00002
82,09534  0,00000
83,44116  0,00002
84,78699  0,00000
86,13281  0,00006
87,47864  0,00000
88,82446  0,00004
90,17029  0,00000
91,51611  0,00004
92,86194  0,00001
94,20776  0,00002
95,55359  0,00001
96,89941  0,00002
98,24524  0,00002
99,59106  0,00001
100,93689  0,00002
102,28271  0,00003
103,62854  0,00003
104,97437  0,00002
106,32019  0,00004
107,66602  0,00004
109,01184  0,00005
110,35767  0,00005
111,70349  0,00006
113,04932  0,00005
114,39514  0,00006
115,74097  0,00004
117,08679  0,00005
118,43262  0,00001
119,77844  0,00004
121,12427  0,00004
122,47009  0,00003
123,81592  0,00000
125,16174  0,00002
126,50757  0,00002
127,85339  0,00002
129,19922  0,00003
130,54504  0,00001
131,89087  0,00004
133,23669  0,00001
134,58252  0,00003
135,92834  0,00000
137,27417  0,00006
138,62000  0,00000
139,96582  0,00002
141,31165  0,00000
142,65747  0,00002
144,00330  0,00000
145,34912  0,00004
146,69495  0,00000
148,04077  0,00005
149,38660  0,00000
150,73242  0,00001
152,07825  0,00001
153,42407  0,00004
154,76990  0,00001
156,11572  0,00006
157,46155  0,00002
158,80737  0,00003
160,15320  0,00002
161,49902  0,00006
162,84485  0,00003
164,19067  0,00000
165,53650  0,00004
166,88232  0,00006
168,22815  0,00005
169,57397  0,00006
170,91980  0,00006
172,26562  0,00004
173,61145  0,00006
174,95728  0,00003
176,30310  0,00005
177,64893  0,00003
178,99475  0,00004
180,34058  0,00001
181,68640  0,00003
183,03223  0,00004
184,37805  0,00002
185,72388  0,00002
187,06970  0,00002
188,41553  0,00003
189,76135  0,00001
191,10718  0,00003
192,45300  0,00001
193,79883  0,00000
195,14465  0,00000
196,49048  0,00003
197,83630  0,00000
199,18213  0,00001
200,52795  0,00000
201,87378  0,00003
203,21960  0,00000
204,56543  0,00002
205,91125  0,00000
207,25708  0,00001
208,60291  0,00000
209,94873  0,00005
211,29456  0,00001
212,64038  0,00001
213,98621  0,00001
215,33203  0,00002
216,67786  0,00002
218,02368  0,00006
219,36951  0,00002
220,71533  0,00004
222,06116  0,00003
223,40698  0,00002
224,75281  0,00004
226,09863  0,00005
227,44446  0,00005
228,79028  0,00005
230,13611  0,00006
231,48193  0,00003
232,82776  0,00006
234,17358  0,00002
235,51941  0,00005
236,86523  0,00005
238,21106  0,00004
239,55688  0,00001
240,90271  0,00003
242,24854  0,00005
243,59436  0,00003
244,94019  0,00006
246,28601  0,00002
247,63184  0,00004
248,97766  0,00001
250,32349  0,00003
251,66931  0,00001
253,01514  0,00004
254,36096  0,00000
255,70679  0,00001
257,05261  0,00000
258,39844  0,00000
259,74426  0,00000
261,09009  0,00004
