Frequency, Amplitude
0,00000  0,00000
1,34583  0,00003
2,69165  0,00001
4,03748  0,00002
5,38330  0,00002
6,72913  0,00001
8,07495  0,00003
9,42078  0,00000
10,76660  0,00000
12,11243  0,00000
13,45825  0,00000
14,80408  0,00001
16,14990  0,00001
17,49573  0,00001
18,84155  0,00001
20,18738  0,00000
21,53320  0,00003
22,87903  0,00001
24,22485  0,00001
25,57068  0,00001
26,91650  0,00007
28,26233  0,00001
29,60815  0,00006
30,95398  0,00000
32,29980  0,00001
33,64563  0,00000
34,99146  0,00001
36,33728  0,00001
37,68311  0,00006
39,02893  0,00001
40,37476  0,00002
41,72058  0,00001
43,06641  0,00003
44,41223  0,00001
45,75806  0,00001
47,10388  0,00001
48,44971  0,00002
49,79553  0,00002
51,14136  0,00003
52,48718  0,00003
53,83301  0,00006
55,17883  0,00004
56,52466  0,00003
57,87048  0,00006
59,21631  0,00000
60,56213  0,00004
61,90796  0,00000
63,25378  0,00003
64,59961  0,00003
65,94543  0,00002
67,29126  0,00005
68,63708  0,00002
69,98291  0,00002
71,32874  0,00001
72,67456  0,00004
74,02039  0,00001
75,36621  0,00005
76,71204  0,00000
78,05786  0,00003
79,40369  0,00001
80,74951  0,00006
82,09534  0,00001
83,44116  0,00003
84,78699  0,00000
86,13281  0,00005
87,47864  0,00001
88,82446  0,00006
90,17029  0,00001
91,51611  0,00001
92,86194  0,00001
94,20776  0,00002
95,55359  0,00001
96,89941  0,00001
98,24524  0,00001
99,59106  0,00006
100,93689  0,00001
102,28271  0,00000
103,62854  0,00001
104,97437  0,00003
106,32019  0,00001
107,66602  0,00001
109,01184  0,00001
110,35767  0,00002
111,70349  0,00002
113,04932  0,00006
114,39514  0,00003
115,74097  0,00003
117,08679  0,00006
118,43262  0,00001
119,77844  0,00005
121,12427  0,00001
122,47009  0,00003
123,81592  0,00004
125,16174  0,00003
126,50757  0,00006
127,85339  0,00003
129,19922  0,00004
130,54504  0,00002
131,89087  0,00005
133,23669  0,00001
134,58252  0,00000
135,92834  0,00000
137,27417  0,00004
138,62000  0,00001
139,96582  0,00002
141,31165  0,00000
142,65747  0,00005
144,00330  0,00000
145,34912  0,00005
146,69495  0,00001
148,04077  0,00004
149,38660  0,00001
150,73242  0,00005
152,07825  0,00000
153,42407  0,00004
154,76990  0,00000
156,11572  0,00006
157,46155  0,00000
158,80737  0,00001
160,15320  0,00001
